file_id,file_name,file_type,version,source_platform,hosted_link,local_path,file_size,file_hash,is_latest,created_at,_id
9f5df1f0-0a42-4fd1-b85c-7a77672be665,CA3-25070149025.pdf,pdf,0,aws,https://smartfiless3.s3.amazonaws.com/CA3-25070149025.pdf?response-content-type=application%2Fpdf&response-content-disposition=inline%3B%20filename%3D%22CA3-25070149025.pdf%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=eVHuuwyaafebObHZVIhS11WN5rk%3D&Expires=1777044051,app/data/documents/CA3-25070149025.pdf,714259,328b16759676d0cdfb4bec895271a454,True,2026-04-20T17:01:43.748000,69e65bf710a1bb40705d42d2
62b2546a-3069-4341-b5c7-60bb0ec75ff5,2306.08161.pdf,pdf,0,aws,https://smartfiless3.s3.amazonaws.com/2306.08161.pdf?response-content-type=application%2Fpdf&response-content-disposition=inline%3B%20filename%3D%222306.08161.pdf%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=T1spOpHYDCQaqIkTY3HGyjLIoH4%3D&Expires=1777044058,app/data/documents/2306.08161.pdf,1019467,b5edd2c778fc2347392354ac441efcd7,True,2026-04-20T17:01:48.953000,69e65bfc10a1bb40705d42d3
b9bb277e-e15c-4be5-9d2f-0f64ff125d23,clothing_sales_combined.csv,csv,0,aws,https://smartfiless3.s3.amazonaws.com/clothing_sales_combined.csv?response-content-type=text%2Fcsv&response-content-disposition=inline%3B%20filename%3D%22clothing_sales_combined.csv%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=Htd4dDemhuuLfoR2JbrAcGtAsLs%3D&Expires=1777044061,app/data/documents/clothing_sales_combined.csv,1601521,a03d9301185de1291544f4fde38ac879,True,2026-04-20T17:01:51.877000,69e65bff10a1bb40705d42d4
c157cae0-28ca-4f34-ae5c-3885cd09c583,College_Marks_Dataset.csv,csv,0,aws,https://smartfiless3.s3.amazonaws.com/College_Marks_Dataset.csv?response-content-type=text%2Fcsv&response-content-disposition=inline%3B%20filename%3D%22College_Marks_Dataset.csv%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=J6v2vyr0ipnZJxGMpJ2RUTdxfq0%3D&Expires=1777044063,app/data/documents/College_Marks_Dataset.csv,44730,06eeb2036c3818a31469d50a2cc32b2e,True,2026-04-20T17:01:54.625000,69e65c0210a1bb40705d42d5
dde7f7af-f236-459f-8f38-30397afc388a,healthcare_dataset.csv,csv,0,aws,https://smartfiless3.s3.amazonaws.com/healthcare_dataset.csv?response-content-type=text%2Fcsv&response-content-disposition=inline%3B%20filename%3D%22healthcare_dataset.csv%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=338aS64X25ilZ6XEO6IJf%2FBNNBE%3D&Expires=1777044071,app/data/documents/healthcare_dataset.csv,8343720,5969db18a3f7dc903880321a6a21f3a2,True,2026-04-20T17:01:58.978000,69e65c0610a1bb40705d42d6
132e1d25-df2d-4363-aab0-5f6b5d6e34e4,jainil-resume.pdf,pdf,0,aws,https://smartfiless3.s3.amazonaws.com/jainil-resume.pdf?response-content-type=application%2Fpdf&response-content-disposition=inline%3B%20filename%3D%22jainil-resume.pdf%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=hacqf%2FP0oTXq9luMT%2BwTmu0RsSU%3D&Expires=1777044075,app/data/documents/jainil-resume.pdf,762425,8859b26e71f70ffd75f4670ad925e468,True,2026-04-20T17:02:03.228000,69e65c0b10a1bb40705d42d7
a1c9f237-bd7a-4dd4-a377-acd0e132ed0a,Jay Modhiya Resume.pdf,pdf,0,aws,https://smartfiless3.s3.amazonaws.com/Jay%20Modhiya%20Resume.pdf?response-content-type=application%2Fpdf&response-content-disposition=inline%3B%20filename%3D%22Jay%20Modhiya%20Resume.pdf%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=SftffkQq7aAmtrn8%2Favp7J2rqWk%3D&Expires=1777044077,app/data/documents/Jay Modhiya Resume.pdf,126381,9835e838bf49875c5f1f6288250952c0,True,2026-04-20T17:02:06.385000,69e65c0e10a1bb40705d42d8
5badb714-adb2-4012-9976-9d194d718ed1,Leave Policy.pdf,pdf,0,aws,https://smartfiless3.s3.amazonaws.com/Leave%20Policy.pdf?response-content-type=application%2Fpdf&response-content-disposition=inline%3B%20filename%3D%22Leave%20Policy.pdf%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=yN4BsSRQKL2aL45pA1rjESpRzPg%3D&Expires=1777044079,app/data/documents/Leave Policy.pdf,67790,d422d45f687f61c6d4e82f859b332291,True,2026-04-20T17:02:10.760000,69e65c1210a1bb40705d42d9
81334fda-f059-450c-bbc7-3f663c6e55f5,Project Alpha.pdf,pdf,0,aws,https://smartfiless3.s3.amazonaws.com/Project%20Alpha.pdf?response-content-type=application%2Fpdf&response-content-disposition=inline%3B%20filename%3D%22Project%20Alpha.pdf%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=Hq%2BjKhUM6d6yIj0e%2FDG58gptVLc%3D&Expires=1777044080,app/data/documents/Project Alpha.pdf,95752,d007ffce00ccdc447a79ba87b7137079,True,2026-04-20T17:02:13.290000,69e65c1510a1bb40705d42da
95c86089-cb5a-4260-ab7f-41ca11338880,Project Alpha.txt,txt,0,aws,https://smartfiless3.s3.amazonaws.com/Project%20Alpha.txt?response-content-type=text%2Fplain&response-content-disposition=inline%3B%20filename%3D%22Project%20Alpha.txt%22&AWSAccessKeyId=AKIAQ47TESKDDHQGGQKZ&Signature=5OU1skuq%2B4IMwjI2c8MCPdvF2w4%3D&Expires=1777044082,app/data/documents/Project Alpha.txt,4315,e637b41931536de93ce6f0b342790d33,True,2026-04-20T17:02:15.458000,69e65c1710a1bb40705d42db
